Agency Name,Bureau Name,Account Name,2013,2014
Department of Labor,Departmental Management,Veterans Employment and Training,53000,38000
Department of the Treasury,Internal Revenue Service,Payment to Issuer of Qualified Zone Academy Bonds,38000,38000
Department of Homeland Security,Domestic Nuclear Detection Office,Management and Administration,38000,38000
Office of Personnel Management,Office of Personnel Management,Employees and Retired Employees Health Benefits Funds,41000,38000
Department of the Interior,Bureau of Reclamation,California Bay-Delta Restoration,40000,37000
National Aeronautics and Space Administration,National Aeronautics and Space Administration,Office of Inspector General,39000,37000
Department of the Interior,United States Fish and Wildlife Service,Land Acquisition,0,36000
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Indian Land and Water Claim Settlements and Miscellaneous Payments to Indians,33000,36000
Department of State,Administration of Foreign Affairs,Payment to the American Institute in Taiwan,21000,36000
Department of Agriculture,Rural Utilities Service,Rural Electrification and Telecommunications Loans Program Account,38000,35000
Department of Health and Human Services,Administration for Community Living,Aging and Disability Services Programs,10000,35000
Department of Labor,Wage and Hour Division,H-1 B and L Fraud Prevention and Detection,35000,35000
Department of the Treasury,Departmental Offices,Special Inspector General for the Troubled Asset Relief Program,42000,35000
Department of Transportation,Federal Railroad Administration,Railroad Research and Development,35000,35000
Department of Homeland Security,Immigration and Customs Enforcement,"Automation Modernization, Immigration and Customs Enforcement",12000,35000
Department of Homeland Security,Customs and Border Protection,International Registered Traveler,34000,35000
Department of Agriculture,Rural Housing Service,Multifamily Housing Revitalization Program Account,13000,33000
Department of Defense--Military Programs,Military Construction,"Military Construction, Navy Reserve",26000,33000
Department of the Interior,Bureau of Land Management,Land Acquisition,22000,33000
Department of the Treasury,Departmental Offices,Presidential Election Campaign Fund,35000,33000
Department of Transportation,Saint Lawrence Seaway Development Corporation,Operations and Maintenance,32000,33000
Department of Agriculture,Departmental Management,Departmental Administration,31000,32000
Department of Commerce,Departmental Management,Office of the Inspector General,30000,32000
Department of Commerce,Bureau of Industry and Security,Operations and Administration,35000,32000
Department of the Interior,Bureau of Land Management,"Service Charges, Deposits, and Forfeitures",32000,32000
Department of the Treasury,Fiscal Service,Payment to the Yankton Sioux Tribe Development Trust Fund,0,32000
Department of the Treasury,Internal Revenue Service,Payment Where Health Coverage Tax Credit Exceeds Liability for Tax,120000,32000
Department of the Treasury,Internal Revenue Service,Payment to Issuer of Qualified Energy Conservation Bonds,32000,32000
Department of State,International Commissions,"Construction, IBWC",32000,31000
Department of State,International Commissions,International Fisheries Commissions,37000,31000
Department of the Treasury,Departmental Offices,Office of Inspector General,30000,31000
Department of Homeland Security,Federal Law Enforcement Training Center,"Acquisitions, Construction, Improvements and Related Expenses",33000,31000
Judicial Branch,United States Court of Appeals for the Federal Circuit,Salaries and Expenses,30000,30000
Department of Commerce,Bureau of the Census,Salaries and Expenses,30000,30000
Department of Defense--Military Programs,Operation and Maintenance,Lease of Department of Defense Real Property,29000,30000
Department of the Interior,National Park Service,Miscellaneous Trust Funds,30000,30000
Department of the Treasury,Internal Revenue Service,Payment Where Alternative Minimum Tax Credit Exceeds Liability for Tax,90000,30000
Department of Transportation,Federal Transit Administration,Research and University Research Centers,44000,30000
Department of Transportation,Surface Transportation Board,Salaries and Expenses,28000,30000
Department of Veterans Affairs,Veterans Health Administration,DOD-VA Health Care Sharing Incentive Fund,30000,30000
International Assistance Programs,Multilateral Assistance,Contributions to the International Fund for Agricultural Development,30000,30000
Department of Commerce,Minority Business Development Agency,Minority Business Development,31000,29000
Social Security Administration,Social Security Administration,Office of the Inspector General,29000,29000
Department of Energy,Power Marketing Administration,"Western Area Power Administration, Borrowing Authority, Recovery Act.",29000,29000
Judicial Branch,Federal Judicial Center,Salaries and Expenses,27000,28000
Department of Agriculture,National Institute of Food and Agriculture,Integrated Activities,22000,28000
Department of Commerce,National Oceanic and Atmospheric Administration,"Operations, Research, and Facilities",28000,28000
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Abandoned Mine Reclamation Fund,28000,28000
Department of the Interior,Insular Affairs,Assistance to Territories,28000,28000
Department of State,Administration of Foreign Affairs,Protection of Foreign Missions and Officials,27000,28000
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Emergency Preparedness Grants,28000,28000
Department of Veterans Affairs,Veterans Health Administration,"General Post Fund, National Homes",27000,28000
Department of the Interior,Departmental Offices,"Leases of Lands Acquired for Flood Control, Navigation, and Allied Purposes",26000,27000
Department of Defense--Military Programs,Trust Funds,Other DOD Trust Funds,26000,26000
Department of Health and Human Services,Program Support Center,HHS Accrual Contribution to the Uniformed Services Retiree Health Care Fund,29000,26000
Department of the Interior,Bureau of Reclamation,San Joaquin Restoration Fund,0,26000
Department of Justice,General Administration,Justice Information Sharing Technology,44000,26000
Department of Agriculture,Rural Housing Service,Rural Housing Assistance Grants,33000,25000
Department of Agriculture,Forest Service,State and Private Forestry,0,25000
Department of Defense--Military Programs,Procurement,Defense Production Act Purchases,171000,25000
Department of Defense--Military Programs,Revolving and Management Funds,"Working Capital Fund, Army",144000,25000
Department of Health and Human Services,Departmental Management,Pregnancy Assistance Fund,25000,25000
Department of the Interior,Bureau of Land Management,Miscellaneous Trust Funds,25000,25000
Department of Education,Office of Special Education and Rehabilitative Services,American Printing House for the Blind,25000,25000
Department of Transportation,Federal Transit Administration,Public Transportation Emergency Relief Program,10894000,25000
International Assistance Programs,International Security Assistance,Global Security Contingency Fund,0,25000
International Assistance Programs,Multilateral Assistance,International Affairs Technical Assistance Program,27000,25000
National Science Foundation,National Science Foundation,Donations,25000,25000
Department of Agriculture,Agricultural Research Service,Miscellaneous Contributed Funds,30000,24000
Department of the Treasury,Fiscal Service,Interest on Uninvested Funds,24000,24000
Department of the Treasury,Internal Revenue Service,Payment to Issuer of New Clean Renewable Energy Bonds,24000,24000
Department of Transportation,Federal Highway Administration,Miscellaneous Trust Funds,24000,24000
International Assistance Programs,African Development Foundation,African Development Foundation,30000,24000
Other Defense Civil Programs,Selective Service System,Salaries and Expenses,24000,24000
Department of Agriculture,Office of Civil Rights,Office of Civil Rights,21000,22000
Department of Housing and Urban Development,Management and Administration,Policy Development and Research Personnel Compensation and Benefits,22000,22000
Department of Agriculture,Food and Nutrition Service,Commodity Assistance Program,21000,21000
Department of Health and Human Services,Departmental Management,Office of the National Coordinator for Health Information Technology,17000,21000
Department of Labor,Departmental Management,Information Technology Modernization,20000,21000
Department of Education,Office of Postsecondary Education,College Housing and Academic Facilities Loans Program Account,21000,21000
Environmental Protection Agency,Environmental Protection Agency,Inland Oil Spill Programs,13000,21000
Judicial Branch,United States Court of International Trade,Salaries and Expenses,20000,20000
Department of Agriculture,Rural Business_Cooperative Service,Rural Energy for America Program,-38000,20000
Department of the Treasury,Departmental Offices,Small Business Lending Fund Program Account,58000,20000
Department of Energy,Energy Programs,Naval Petroleum and Oil Shale Reserves,15000,20000
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Operational Expenses,20000,20000
Department of Homeland Security,United States Coast Guard,"Research, Development, Test, and Evaluation",28000,20000
Department of Housing and Urban Development,Community Planning and Development,Capacity Building,0,20000
Department of Health and Human Services,Health Resources and Services Administration,Vaccine Injury Compensation Program Trust Fund,19000,19000
Department of the Interior,National Indian Gaming Commission,"National Indian Gaming Commission, Gaming Activity Fees",19000,19000
Environmental Protection Agency,Environmental Protection Agency,Hazardous Substance Superfund,14000,19000
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,Trust Fund Share of Pipeline Safety,19000,19000
International Assistance Programs,Inter-American Foundation,Inter-American Foundation,23000,18000
Judicial Branch,United States Sentencing Commission,Salaries and Expenses,17000,17000
Department of Agriculture,Office of the Secretary,Office of the Secretary,16000,17000
Department of Agriculture,Rural Housing Service,Rural Community Facilities Program Account,29000,17000
Department of Agriculture,Rural Business_Cooperative Service,Rural Cooperative Development Grants,25000,17000
Department of State,Other,Payment to the Asia Foundation,17000,17000
Department of Housing and Urban Development,Housing Programs,Other Assisted Housing Programs,-22000,17000
Department of the Interior,Bureau of Land Management,Land Acquisition,0,16000
Department of the Interior,United States Fish and Wildlife Service,Construction,91000,16000
Department of Justice,Office of Justice Programs,Public Safety Officer Benefits,16000,16000
Department of Commerce,Departmental Management,HCHB Renovation and Modernization,5000,15000
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,Abandoned Mine Reclamation Fund,55000,15000
Department of the Interior,Bureau of Safety and Environmental Enforcement,Oil Spill Research,15000,15000
Department of State,Administration of Foreign Affairs,Foreign Service National Separation Liability Trust Fund,14000,15000
Department of Energy,Energy Programs,Electricity Delivery and Energy Reliability,5000,15000
Department of Transportation,Office of the Secretary,Research and Development,16000,15000
Department of Homeland Security,Customs and Border Protection,Payments to Wool Manufacturers,15000,15000
Department of Housing and Urban Development,Management and Administration,Executive Offices,0,15000
Department of Defense--Military Programs,Operation and Maintenance,United States Court of Appeals for the Armed Forces,14000,14000
National Science Foundation,National Science Foundation,Office of the Inspector General,14000,14000
Department of Agriculture,Office of Chief Economist,Office of the Chief Economist,11000,13000
Department of Agriculture,National Appeals Division,National Appeals Division,13000,13000
Department of the Interior,Department-Wide Programs,Natural Resource Damage Assessment Fund,6000,13000
Department of Justice,United States Parole Commission,Salaries and Expenses,13000,13000
Department of Labor,Employment and Training Administration,State Unemployment Insurance and Employment Service Operations,13000,13000
Department of Homeland Security,United States Coast Guard,Environmental Compliance and Restoration,14000,13000
Department of Housing and Urban Development,Public and Indian Housing Programs,Native Hawaiian Housing Block Grant,13000,13000
Judicial Branch,Supreme Court of the United States,Care of the Building and Grounds,8000,12000
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, Community Relations Service",11000,12000
Department of State,International Commissions,"American Sections, International Commissions",12000,12000
Department of Energy,Power Marketing Administration,"Operation and Maintenance, Southwestern Power Administration",12000,12000
Department of Agriculture,Agricultural Marketing Service,Perishable Agricultural Commodities Act Fund,11000,11000
Department of State,Other,East-West Center,17000,11000
Environmental Protection Agency,Environmental Protection Agency,Pesticide Registration Fund,11000,11000
Department of Agriculture,Food Safety and Inspection Service,"Expenses and Refunds, Inspection and Grading of Farm Products",10000,10000
Department of Agriculture,Rural Housing Service,Mutual and Self-help Housing Grants,30000,10000
Department of Agriculture,Forest Service,Stewardship Contracting Product Sales,10000,10000
Department of Commerce,National Oceanic and Atmospheric Administration,Limited Access System Administration Fund,10000,10000
Department of Commerce,National Oceanic and Atmospheric Administration,Environmental Improvement and Restoration Fund,10000,10000
Department of Commerce,National Telecommunications and Information Administration,State and Local Implementation Fund,125000,10000
Department of Defense--Military Programs,Operation and Maintenance,Disposal of Department of Defense Real Property,14000,10000
Department of the Interior,Bureau of Land Management,Range Improvements,10000,10000
Department of the Interior,United States Fish and Wildlife Service,Multinational Species Conservation Fund,10000,10000
Department of the Interior,National Park Service,Urban Park and Recreation Fund,0,10000
Department of the Interior,Department-Wide Programs,Central Hazardous Materials Fund,10000,10000
Department of Justice,Legal Activities and U.S. Marshals,Construction,15000,10000
Department of State,Administration of Foreign Affairs,Emergencies in the Diplomatic and Consular Service,9000,10000
Department of the Treasury,Departmental Offices,GSE Mortgage-Backed Securities Purchase Program Account,548000,10000
Department of Transportation,Office of the Secretary,Financial Management Capital,5000,10000
Department of Transportation,Office of the Secretary,Office of Civil Rights,9000,10000
Department of Housing and Urban Development,Public and Indian Housing Programs,Rental Assistance Demonstration,0,10000
Department of Agriculture,Animal and Plant Health Inspection Service,Miscellaneous Trust Funds,9000,9000
Department of Agriculture,Rural Business_Cooperative Service,Rural Development Loan Fund Program Account,11000,9000
Department of the Treasury,Fiscal Service,Yankton Sioux Tribe Development Trust Fund,0,9000
Department of Education,Office of Federal Student Aid,Student Financial Assistance Debt Collection,9000,9000
Department of Agriculture,Office of Communications,Office of Communications,8000,8000
Department of Commerce,National Oceanic and Atmospheric Administration,Damage Assessment and Restoration Revolving Fund,8000,8000
Department of Health and Human Services,Indian Health Service,Indian Health Facilities,8000,8000
Department of the Interior,Bureau of Reclamation,Lower Colorado River Basin Development Fund,6000,8000
Department of the Interior,United States Fish and Wildlife Service,National Wildlife Refuge Fund,8000,8000
Department of the Interior,Departmental Offices,"National Forests Fund, Payment to States",8000,8000
Department of State,Administration of Foreign Affairs,Representation Allowances,7000,8000
Department of Energy,Energy Programs,Northeast Home Heating Oil Reserve,10000,8000
Department of Transportation,Office of the Secretary,Aviation Consumer Call Center,0,8000
Department of Housing and Urban Development,Housing Programs,FHA-mutual Mortgage and Cooperative Housing Insurance Funds Liquidating Account,0,8000
Department of Housing and Urban Development,Housing Programs,Manufactured Housing Fees Trust Fund,6000,8000
Department of Housing and Urban Development,Management and Administration,Office of Healthy Homes and Lead Hazard Control Personnel Compensation and Benefits,7000,8000
Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Export Loans Program Account,7000,7000
Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,-10000,7000
Department of the Interior,Central Utah Project,Utah Reclamation Mitigation and Conservation Account,3000,7000
Department of the Treasury,Fiscal Service,Payment to the Santee Sioux Tribe Development Trust Fund,0,7000
Department of Transportation,Office of the Secretary,"Transportation Planning, Research, and Development",9000,7000
Department of Transportation,Federal Transit Administration,Transit Cooperative Research Program,0,7000
Department of Transportation,Federal Transit Administration,Technical Assistance and Standards Development,0,7000
Judicial Branch,Judicial Retirement Funds,United States Court of Federal Claims Judges' Retirement Fund,7000,6000
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Operation and Maintenance of Quarters,6000,6000
Department of the Interior,Departmental Offices,Salaries and Expenses,0,6000
Department of State,Other,"International Center, Washington, D.C.",1000,6000
Department of Energy,Energy Programs,Advanced Technology Vehicles Manufacturing Loan Program Account,6000,6000
Department of Transportation,Office of the Secretary,Cyber Security Initiatives,10000,6000
Department of Housing and Urban Development,Public and Indian Housing Programs,Indian Housing Loan Guarantee Fund Program Account,6000,6000
Department of Housing and Urban Development,Housing Programs,FHA-general and Special Risk Insurance Funds Liquidating Account,-27000,6000
Office of Personnel Management,Office of Personnel Management,Employees Life Insurance Fund,5000,6000
International Assistance Programs,Multilateral Assistance,Contribution to Enterprise for the Americas Multilateral Investment Fund,25000,6000
Department of Agriculture,National Institute of Food and Agriculture,Extension Activities,5000,5000
Department of Agriculture,Farm Service Agency,Commodity Credit Corporation Fund,0,5000
Department of Commerce,Departmental Management,Gifts and Bequests,7000,5000
Department of Commerce,International Trade Administration,Grants to Manufacturers of Worsted Wool Fabrics,5000,5000
Department of Commerce,National Oceanic and Atmospheric Administration,Fisheries Enforcement Asset Forfeiture Fund,5000,5000
Department of Defense--Military Programs,Operation and Maintenance,Overseas Contingency Operations Transfer Fund,0,5000
Department of the Interior,Bureau of Land Management,Miscellaneous Permanent Payment Accounts,46000,5000
Department of the Interior,United States Fish and Wildlife Service,"Recreation Enhancement Fee Program, FWS",5000,5000
Department of the Interior,National Park Service,Urban Park and Recreation Fund,0,5000
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,Indian Guaranteed Loan Program Account,7000,5000
Department of Labor,Employment and Training Administration,States Paid Leave Fund,0,5000
Social Security Administration,Social Security Administration,Special Benefits for Certain World War II Veterans,6000,5000
Department of Transportation,Federal Transit Administration,Human Resources and Training,0,5000
Department of Homeland Security,Immigration and Customs Enforcement,Construction,0,5000
Office of Personnel Management,Office of Personnel Management,Office of Inspector General,3000,5000
Department of Agriculture,Departmental Management,Hazardous Materials Management,4000,4000
Department of Agriculture,Farm Service Agency,State Mediation Grants,4000,4000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Child Enrollment Contingency Fund,3000,4000
Department of the Interior,United States Fish and Wildlife Service,Neotropical Migratory Bird Conservation,4000,4000
Department of the Interior,United States Fish and Wildlife Service,Miscellaneous Permanent Appropriations,4000,4000
Department of Homeland Security,Customs and Border Protection,"US Customs Refunds, Transfers and Expenses, Unclaimed and Abandoned Goods",4000,4000
National Science Foundation,National Science Foundation,Office of the National Science Board,4000,4000
Judicial Branch,United States Court of Appeals for the Federal Circuit,Salaries and Expenses,3000,3000
Department of Agriculture,Animal and Plant Health Inspection Service,Buildings and Facilities,3000,3000
Department of Agriculture,Rural Business_Cooperative Service,Rural Microenterprise Investment Program Account,3000,3000
Department of Agriculture,Foreign Agricultural Service,Public Law 480 Title I Direct Credit and Food for Progress Program Account,3000,3000
Department of the Interior,Bureau of Reclamation,Reclamation Trust Funds,3000,3000
Department of the Interior,Central Utah Project,Central Utah Project Completion Account,27000,3000
Department of the Interior,United States Fish and Wildlife Service,Contributed Funds,3000,3000
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,White Earth Settlement Fund,3000,3000
Department of the Interior,Departmental Offices,States Share from Certain Gulf of Mexico Leases,0,3000
Department of the Interior,Insular Affairs,Compact of Free Association,16000,3000
Department of Justice,Federal Prison System,"Federal Prison Industries, Incorporated",3000,3000
Department of Labor,Office of Workers' Compensation Programs,Special Benefits,3000,3000
Department of State,Administration of Foreign Affairs,Miscellaneous Trust Funds,3000,3000
Department of the Treasury,Departmental Offices,Department-wide Systems and Capital Investments Programs,0,3000
Department of Energy,Energy Programs,Payments to States under Federal Power Act,3000,3000
Department of Transportation,Office of the Secretary,Minority Business Outreach,3000,3000
Department of Transportation,Maritime Administration,Maritime Guaranteed Loan (title XI) Program Account,4000,3000
International Assistance Programs,Agency for International Development,Foreign Service National Separation Liability Trust Fund,3000,3000
Other Defense Civil Programs,"Forest and Wildlife Conservation, Military Reservations",Wildlife Conservation,3000,3000
Judicial Branch,Supreme Court of the United States,Salaries and Expenses,2000,2000
Judicial Branch,United States Court of International Trade,Salaries and Expenses,2000,2000
Department of Agriculture,Foreign Agricultural Service,Salaries and Expenses,2000,2000
Department of Agriculture,Forest Service,Range Betterment Fund,3000,2000
Department of Commerce,National Oceanic and Atmospheric Administration,"Medicare-eligible Retiree Health Fund Contribution, NOAA",2000,2000
Department of Commerce,National Institute of Standards and Technology,Working Capital Fund,0,2000
Department of Defense--Military Programs,Family Housing,Department of Defense Family Housing Improvement Fund,2000,2000
Department of Health and Human Services,Food and Drug Administration,Salaries and Expenses,2000,2000
Department of Justice,Legal Activities and U.S. Marshals,"Salaries and Expenses, Foreign Claims Settlement Commission",2000,2000
Department of Labor,Department of Labor,All Other General Fund Proprietary Receipts Including Budget Clearing Accounts,1000,2000
Department of Labor,Office of Workers' Compensation Programs,Special Workers' Compensation Expenses,2000,2000
Department of State,Administration of Foreign Affairs,Repatriation Loans Program Account,2000,2000
Department of the Treasury,Fiscal Service,Federal Interest Liabilities to States,2000,2000
Department of the Treasury,Fiscal Service,Check Forgery Insurance Fund,2000,2000
Department of the Treasury,Fiscal Service,Cheyenne River Sioux Tribe Terrestrial Wildlife Habitat Restoration Trust Fund,2000,2000
Department of the Treasury,Fiscal Service,Santee Sioux Tribe Development Trust Fund,0,2000
Department of the Treasury,Internal Revenue Service,Therapeutic Discovery Program Grants and Administration,3000,2000
Environmental Protection Agency,Environmental Protection Agency,Hazardous Waste Electronic Manifest System Fund,0,2000
Department of Transportation,Maritime Administration,Ship Disposal,6000,2000
Department of Veterans Affairs,Benefits Programs,United States Government Life Insurance Fund,2000,2000
International Assistance Programs,African Development Foundation,"Gifts and Donations, African Development Foundation",2000,2000
Federal Communications Commission,Federal Communications Commission,Spectrum Auction Program Account,4000,2000
Judicial Branch,"Courts of Appeals, District Courts, and other Judicial Services",Registry Administration,1000,1000
Department of Agriculture,Agricultural Marketing Service,Payments to States and Possessions,1000,1000
Department of Agriculture,Rural Business_Cooperative Service,Rural Microenterprise Investment Program Account,-3000,1000
Department of Agriculture,Food and Nutrition Service,"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",1000,1000
Department of Commerce,National Oceanic and Atmospheric Administration,Sanctuaries Enforcement Asset Forfeiture Fund,1000,1000
Department of the Interior,Bureau of Reclamation,Water and Related Resources,1000,1000
Department of the Interior,Central Utah Project,Utah Reclamation Mitigation and Conservation Account,2000,1000
Department of the Interior,United States Geological Survey,Contributed Funds,1000,1000
Department of the Interior,United States Fish and Wildlife Service,North American Wetlands Conservation Fund,1000,1000
Department of State,Administration of Foreign Affairs,Foreign Service National Defined Contributions Retirement Fund,1000,1000
Department of State,Other,International Litigation Fund,1000,1000
Department of the Treasury,Fiscal Service,Payment of Government Losses in Shipment,1000,1000
Social Security Administration,Social Security Administration,Special Benefits for Certain World War II Veterans,1000,1000
Department of Transportation,Office of the Secretary,Minority Business Resource Center Program,1000,1000
Department of Transportation,Maritime Administration,"Miscellaneous Trust Funds, Maritime Administration",1000,1000
Department of Housing and Urban Development,Community Planning and Development,Revolving Fund (liquidating Programs),1000,1000
Department of Housing and Urban Development,Housing Programs,Payment to Manufactured Housing Fees Trust Fund,3000,1000
National Aeronautics and Space Administration,National Aeronautics and Space Administration,"Science, Space, and Technology Education Trust Fund",1000,1000
Department of Veterans Affairs,Benefits Programs,Native American Veteran Housing Loan Program Account,1000,1000
Other Defense Civil Programs,American Battle Monuments Commission,Contributions,1000,1000
